logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_id,Category
-0.236168095,6.877098886,-1.48332577,0.196446439,0.265734346,-7.696680271,g94.t1,None
0.189456718,1.296623064,1.721961589,0.143993615,0.204960519,-7.3923744,g9909.t1,None
4.420774773,3.961385852,9.702489399,0.000167755,0.000955837,0.295206656,Mtet_Pt_psbI,Upregulated
0.113418823,0.226803677,2.769715193,0.038147972,0.068366791,-5.986657374,g9519.t1,None
0.252241644,0.875328236,2.745597243,0.039275827,0.069991771,-6.018705988,g5977.t1,None
0.461725824,1.749836516,5.894500512,0.001808018,0.005914304,-2.500108332,g8509.t1,None
0.084282364,0.344427185,1.782617569,0.133042636,0.191822953,-7.312894372,g12755.t1,None
0.583036012,0.335499489,10.00003131,0.000144564,0.00085631,0.470792468,g1092.t1,None
1.68245856,7.843023012,11.63248699,6.82806778611371e-05,0.000490743,1.356314613,g9406.t1,Upregulated
1.16750366,6.991737134,10.88639083,9.49605229450118e-05,0.000627898,0.966901324,g4201.t1,Upregulated
-0.040829083,4.173420159,-1.097661445,0.32101038,0.400212161,-8.143997864,g14002.t1,None
-0.156566978,0.19255295,-1.708201039,0.146601227,0.208103831,-7.41030502,g12212.t1,None
-0.061779342,0.25523196,-1.127726187,0.309225185,0.388334789,-8.111801903,g2931.t1,None
-7.913854099,4.783271492,-85.45132396,2.57144506204413e-09,1.05805780570752e-06,12.66597879,g5613.t1,Downregulated
-1.004324695,3.110009823,-3.559416494,0.015440419,0.032700197,-4.975189089,g9077.t1,Downregulated
0.277823589,1.2385748,2.322498648,0.066339577,0.107662807,-6.587632763,g7719.t1,None
0.683488664,0.68709325,4.443411444,0.006290285,0.015812868,-3.948177881,g9961.t1,None
-1.025176227,1.613679563,-4.779893398,0.004602876,0.012286778,-3.587362177,g9003.t1,Downregulated
0.014746646,0.015749418,0.615827328,0.564210708,0.634172836,-8.571832962,g13457.t1,None
-0.481455395,0.339146452,-3.697540133,0.01331471,0.029030804,-4.807059544,g8947.t3,None
0.591116459,0.309006425,14.543841,2.22637023700801e-05,0.000221121,2.678688111,g12991.t1,None
0.249381164,1.228770407,1.864454543,0.119588288,0.175826527,-7.204660149,g2604.t1,None
-0.016373227,4.61595154,-0.076259221,0.942087618,0.955775929,-8.78680844,g11504.t1,None
0.908251591,0.645472967,10.86753577,9.57812137630273e-05,0.000631652,0.956741803,g6106.t1,None
0.069248373,0.059450752,2.650376859,0.04410034,0.077051869,-6.145739249,g11387.t1,None
-1.834950303,8.565373324,-4.92800338,0.00403073,0.011114897,-3.433575485,g5565.t1,Downregulated
-1.021145747,1.040085441,-6.134974424,0.001504568,0.005139084,-2.285272287,g715.t1,Downregulated
-0.048705211,0.061425385,-1.676377003,0.152813682,0.215333468,-7.451618245,g10914.t1,None
-0.008930923,0.324695738,-0.261584636,0.803784178,0.844541497,-8.749698764,g8910.t1,None
3.877367928,3.003244912,19.14638733,5.52680305701571e-06,8.32343764965725e-05,4.317547904,g7382.t1,Upregulated
0.208881582,0.588328471,1.654326425,0.157270975,0.220133507,-7.480110089,g736.t1,None
-0.787038144,2.345334882,-2.507135756,0.052622417,0.089313917,-6.338123335,g1053.t1,None
0.020314176,0.05209138,0.806244682,0.455709931,0.532457317,-8.424845346,g3945.t1,None
0.4181655,0.832881318,5.876000218,0.001834199,0.005985048,-2.51690693,g5187.t3,None
0.434508709,0.238271967,13.79433345,2.90647335378331e-05,0.000262425,2.364338815,g9779.t1,None
-0.372312853,4.372967464,-1.158870105,0.297413876,0.376208308,-8.077899555,g13060.t1,None
-0.010092907,0.037760699,-0.415968736,0.694203318,0.75020321,-8.688682696,g9510.t1,None
-0.226341882,0.376694981,-4.632600109,0.005267324,0.01372029,-3.743326943,g1044.t1,None
0.323451386,2.616385336,1.11451183,0.314358399,0.393366256,-8.126018546,g1263.t1,None
-3.027242105,9.634165619,-24.63663319,1.52744339008639e-06,3.73927245424462e-05,5.819050222,g9715.t1,Downregulated
2.363909477,1.309450694,25.39863246,1.307151290325e-06,3.47778992775397e-05,5.999798558,g9340.t1,Upregulated
-1.770732278,8.155439769,-3.547736983,0.015637166,0.032990355,-4.989534202,g283.t1,Downregulated
-0.031904776,0.100611071,-0.969027788,0.375815966,0.455765868,-8.275367655,g8426.t1,None
0.020888831,0.029286533,0.834851206,0.440804143,0.518638126,-8.400062332,g11420.t1,None
-0.150273125,0.20927124,-2.010087183,0.098987981,0.150216086,-7.009907231,g5392.t1,None
0.254368233,0.189066723,10.03355311,0.000142197,0.000844462,0.490275742,g1618.t1,None
0.29642443,5.060008165,1.432721962,0.20974289,0.280525637,-7.759020438,g1773.t1,None
0.128060606,0.191006972,4.783564023,0.004587602,0.012265104,-3.583514257,g11664.t1,None
-1.133658421,1.395667875,-4.81851025,0.004445094,0.011980475,-3.546973772,g6356.t1,Downregulated
0.207647636,0.128104816,8.138500318,0.0003953,0.001839358,-0.715447314,g8546.t1,None
0.007156623,0.05137494,0.209248255,0.842282045,0.878024922,-8.764250504,g1520.t1,None
0.02124036,0.023691198,0.893662835,0.411321005,0.491783863,-8.347072652,g1761.t1,None
1.780406192,3.024636543,4.511405938,0.005898238,0.015004108,-3.873962203,g2771.t1,Upregulated
0.59153652,2.826255916,1.870878584,0.118592638,0.174607768,-7.196121736,g8366.t1,None
0.290721519,0.656453752,4.401177283,0.006548934,0.016288917,-3.994613704,g13833.t1,None
-0.632085176,2.131955876,-2.92002206,0.031875663,0.058943102,-5.788230878,g10391.t1,None
0.898673226,1.531153793,7.272614775,0.000677784,0.002793829,-1.349907718,g8894.t1,None
-0.17349504,0.684413825,-2.631220586,0.045147356,0.078702177,-6.171385192,g218.t1,None
-1.761804474,4.622581412,-15.57248828,1.57653331860885e-05,0.000173148,3.085401599,g9088.t1,Downregulated
0.916893191,2.487064185,4.483584706,0.00605514,0.01530188,-3.904248178,g2055.t1,None
0.092251902,0.292583865,2.818235258,0.035985509,0.065125518,-5.922351049,g3648.t1,None
